tweetId|tweetDate|tweetText|hashTag|hashtagList|location|numberRetweets|userMentions_userName|attitude,,,,,,,,,
1234567890|06-28-2018|RT rt US Us us test: test; rt: THE U.S.||||1|@wefishhm70,,,,,,,,,
1012349221348036611|06-28-2018|RT @FishMaki: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @DonaldJTrump @amy?||||7|@FishMaki,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump|positive,
1012349088199823360|06-28-2018|RT @FishMaki: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @DonaldJTrump @amy?||||8|@FishMaki,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump|positive,
1012349074111193088|06-28-2018|RT @FishMaki: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @amyklobuchar @rep?||||8|@FishMaki,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@amyklobuchar|positive,
1012348665258790912|06-28-2018|Jessica Garrels, Chief of Party of @USDA McGovern-Dole Food for Education in Laos, sharing the importance of ensuri? https://t.co/FNHhBfwekg||||0|@USDA|positive,,,,,,,
1012348656207396865|06-28-2018|RT @wefishhm70: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @DonaldJTrump @a?||||14|@wefishhm70,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump|positive,
1012348600641351681|06-28-2018|RT @wefishhm70: @senorrinhatch @SenJohnBarrasso @SenJohnHoeven @SenMikeLee @SteveDaines @lisamurkowski @SenatorEnzi @SecretaryZinke @DOIDep?||||14|@wefishhm70,@senorrinhatch,@SenJohnBarrasso,@SenJohnHoeven,@SenMikeLee,@SteveDaines,@lisamurkowski,@SenatorEnzi,@SecretaryZinke|positive,
1012348549324005376|06-28-2018|RT @SecretarySonny: Appeared on @SquawkCNBC this morning, laying out why @POTUS has held China accountable for its unfair trade practices a?||||16|@SecretarySonny,@SquawkCNBC,@POTUS|positive,,,,,,
1012348525814874114|06-28-2018|RT @USDANutrition: Children?s nutritional needs do not take a #summer break. And @USDA is committed to ensuring children have nutritious fo?|#summer|#summer||6|@USDANutrition,@USDA|positive,,,,,,,,
1012348465345466369|06-28-2018|RT @NOAA: How hard have plants had it in the Southwest USA? Worst conditions in red. See this vegetation #drought response map by @DroughtC?|#drought|#drought||13|@NOAA|positive,,,,,,,,,
1012348400912625664|06-28-2018|RT @Amyjoi16: The drought in Utah is only getting worse! #Drought18 #thinkrain @USDA_NRCS https://t.co/6tGb2OimZT|#Drought18,#thinkrain|#Drought18,#thinkrain||8|@Amyjoi16,@USDA_NRCS|positive,,,,,,
